INFO DATE TIME CLASS LINE DATASET ALGORITHM REPRESENTATION WORDSIZE ALPHA SCORE
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 3 0.45
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 4 0.45
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 5 0.43
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 6 0.4
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 7 0.45
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 8 0.42
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 9 0.41
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 10 0.44
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 11 0.43
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 12 0.45
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 13 0.42
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 14 0.46
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 15 0.47
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 16 0.45
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 9 3 0.43
