[series][INFO] [2020-09-14 16:26:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 4 0.1
[series][INFO] [2020-09-14 16:26:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 5 0.1
[series][INFO] [2020-09-14 16:26:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 6 0.1
[series][INFO] [2020-09-14 16:26:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 7 0.05
[series][INFO] [2020-09-14 16:26:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 8 0.12
[series][INFO] [2020-09-14 16:26:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 9 0.1
[series][INFO] [2020-09-14 16:26:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 10 0.13
[series][INFO] [2020-09-14 16:26:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 11 0.12
[series][INFO] [2020-09-14 16:26:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 12 0.16
[series][INFO] [2020-09-14 16:26:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 13 0.15
[series][INFO] [2020-09-14 16:26:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 14 0.12
[series][INFO] [2020-09-14 16:26:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 15 0.18
[series][INFO] [2020-09-14 16:26:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 8 16 0.16
[series][INFO] [2020-09-14 16:26:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 3 0.1
[series][INFO] [2020-09-14 16:26:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 4 0.1
[series][INFO] [2020-09-14 16:26:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 5 0.08
[series][INFO] [2020-09-14 16:26:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 6 0.13
[series][INFO] [2020-09-14 16:26:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 7 0.11
[series][INFO] [2020-09-14 16:26:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 8 0.1
[series][INFO] [2020-09-14 16:26:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 9 0.13
[series][INFO] [2020-09-14 16:26:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 10 0.16
[series][INFO] [2020-09-14 16:26:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 11 0.13
[series][INFO] [2020-09-14 16:26:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 12 0.1
[series][INFO] [2020-09-14 16:26:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 13 0.15
[series][INFO] [2020-09-14 16:26:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 14 0.17
[series][INFO] [2020-09-14 16:26:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 15 0.16
[series][INFO] [2020-09-14 16:26:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 9 16 0.18
[series][INFO] [2020-09-14 16:26:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 3 0.1
[series][INFO] [2020-09-14 16:26:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 4 0.1
[series][INFO] [2020-09-14 16:26:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 5 0.1
[series][INFO] [2020-09-14 16:26:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 6 0.09
[series][INFO] [2020-09-14 16:26:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 7 0.11
[series][INFO] [2020-09-14 16:26:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 8 0.1
[series][INFO] [2020-09-14 16:26:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 9 0.1
[series][INFO] [2020-09-14 16:26:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 10 0.2
[series][INFO] [2020-09-14 16:26:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 11 0.15
[series][INFO] [2020-09-14 16:26:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 12 0.16
[series][INFO] [2020-09-14 16:26:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 13 0.15
[series][INFO] [2020-09-14 16:26:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 14 0.16
[series][INFO] [2020-09-14 16:26:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 15 0.19
[series][INFO] [2020-09-14 16:26:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 10 16 0.16
[series][INFO] [2020-09-14 16:26:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 3 0.1
[series][INFO] [2020-09-14 16:26:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 4 0.1
[series][INFO] [2020-09-14 16:26:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 5 0.1
[series][INFO] [2020-09-14 16:26:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 6 0.1
[series][INFO] [2020-09-14 16:26:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 7 0.1
[series][INFO] [2020-09-14 16:26:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 8 0.07
[series][INFO] [2020-09-14 16:26:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 9 0.13
[series][INFO] [2020-09-14 16:26:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 10 0.13
[series][INFO] [2020-09-14 16:26:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 11 0.17
[series][INFO] [2020-09-14 16:26:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 12 0.14
[series][INFO] [2020-09-14 16:26:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 13 0.17
[series][INFO] [2020-09-14 16:26:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 14 0.1
[series][INFO] [2020-09-14 16:26:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 15 0.18
[series][INFO] [2020-09-14 16:26:43] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 11 16 0.19
[series][INFO] [2020-09-14 16:26:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 3 0.1
[series][INFO] [2020-09-14 16:26:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 4 0.1
[series][INFO] [2020-09-14 16:26:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 5 0.11
[series][INFO] [2020-09-14 16:26:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 6 0.1
[series][INFO] [2020-09-14 16:26:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 7 0.11
[series][INFO] [2020-09-14 16:26:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 8 0.12
[series][INFO] [2020-09-14 16:26:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 9 0.14
[series][INFO] [2020-09-14 16:26:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 10 0.13
[series][INFO] [2020-09-14 16:26:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 11 0.06
[series][INFO] [2020-09-14 16:26:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 12 0.14
[series][INFO] [2020-09-14 16:26:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 13 0.15
[series][INFO] [2020-09-14 16:26:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 14 0.18
[series][INFO] [2020-09-14 16:26:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 15 0.19
[series][INFO] [2020-09-14 16:26:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 12 16 0.11
[series][INFO] [2020-09-14 16:26:49] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 3 0.1
[series][INFO] [2020-09-14 16:26:49] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 4 0.1
[series][INFO] [2020-09-14 16:26:50] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 5 0.1
[series][INFO] [2020-09-14 16:26:50] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 6 0.13
[series][INFO] [2020-09-14 16:26:51] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 7 0.13
[series][INFO] [2020-09-14 16:26:51] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 8 0.14
[series][INFO] [2020-09-14 16:26:51] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 9 0.15
[series][INFO] [2020-09-14 16:26:52] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 10 0.16
[series][INFO] [2020-09-14 16:26:52] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 11 0.17
[series][INFO] [2020-09-14 16:26:52] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 12 0.17
[series][INFO] [2020-09-14 16:26:52] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 13 0.18
[series][INFO] [2020-09-14 16:26:53] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 14 0.21
[series][INFO] [2020-09-14 16:26:53] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 15 0.17
[series][INFO] [2020-09-14 16:26:53] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 13 16 0.18
[series][INFO] [2020-09-14 16:26:54] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 3 0.1
[series][INFO] [2020-09-14 16:26:54] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 4 0.1
[series][INFO] [2020-09-14 16:26:55] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 5 0.11
[series][INFO] [2020-09-14 16:26:55] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 6 0.06
[series][INFO] [2020-09-14 16:26:55] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 7 0.17
[series][INFO] [2020-09-14 16:26:56] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 8 0.16
[series][INFO] [2020-09-14 16:26:56] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 9 0.15
[series][INFO] [2020-09-14 16:26:56] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 10 0.15
[series][INFO] [2020-09-14 16:26:57] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 14 11 0.17
